Approved Symbol	Previous Symbols	Synonyms	Chromosome	Ensembl Gene ID	UCSC ID(supplied by UCSC)
OR11H1		OR22-1	22q11.1	ENSG00000130538	uc011agd.2
OR11H2	OR11H2P, OR11H8P, C14orf15		14q11.2	ENSG00000258453	uc021rno.1
OR11H3P			15q11.2	ENSG00000258721	
OR11H4			14q11.2	ENSG00000176198	uc010tld.2
OR11H5P			14q11.2	ENSG00000258625	
OR11H6			14q11.2	ENSG00000176219	uc010tlc.2
OR11H7	OR11H7P		14q11.2	ENSG00000258806	
OR11H12			14q11.2	ENSG00000257115	uc010tkp.2
OR11H13P			14q11.2	ENSG00000196143	
OR11I1P	OR11I2P		1p13.3	ENSG00000232791	
OR11J1P			15q11.2		
OR11J2P			15q11.2	ENSG00000258855	
OR11J5P			15q11.2	ENSG00000258494	
OR11J6P			15q11.2		
OR11J7P			15q11.2		
OR11K1P			15q11.2	ENSG00000259324	
OR11K2P			14p13		
OR11L1			1q44	ENSG00000197591	uc001idn.1
OR11M1P			12q13.11	ENSG00000224709	
OR11N1P			Xq26.2		
OR11P1P			14q11		
OR11Q1P			Xq26.1	ENSG00000237650	
OR12D1	OR12D1P	hs6M1-19	6p22.1	ENSG00000251608	
OR12D2		hs6M1-20	6p22.2-p21.31	ENSG00000168787	uc003nmf.4
OR12D3		hs6M1-27	6p22.1	ENSG00000112462	uc003nme.3
OR13A1			10q11.21	ENSG00000256574	uc001jcc.1
OR13C1P			9q31.1	ENSG00000235248	
OR13C2			9q31.1	ENSG00000276119	uc011lvq.2
OR13C3			9q31.1	ENSG00000204246	uc004bcb.1
OR13C4			9q31.1	ENSG00000148136	uc011lvn.2
OR13C5			9q31.1	ENSG00000277556	uc011lvp.2
OR13C6P			9p13.3	ENSG00000179443	
OR13C7	OR13C7P	OST706	9p13.3	ENSG00000243641	
OR13C8			9q31.1	ENSG00000186943	uc011lvo.2
OR13C9			9q31.1	ENSG00000136839	uc011lvr.2
OR13D1			9q31.1	ENSG00000179055	uc011lvs.2
OR13D2P			9q31.1	ENSG00000237443	
OR13D3P			9q31.1	ENSG00000188712	
OR13E1P	OR13E2	OST741	9p13.3	ENSG00000236083	
OR13F1			9q31.1	ENSG00000186881	uc011lvm.2
OR13G1			1q44	ENSG00000197437	uc001idi.1
OR13H1			Xq26.2	ENSG00000171054	uc011muw.2
OR13I1P	OR13I2P		9q31.1	ENSG00000273423	
OR13J1			9p13.3	ENSG00000168828	uc011lph.2
OR13K1P			Xq26.2	ENSG00000237225	
OR13Z1P			1q21.1	ENSG00000226653	
OR13Z2P			1q21.1	ENSG00000272443	
OR13Z3P			1q21.1		
OR14A2	OR5AX1P, OR5AX1		1q44	ENSG00000241128	
OR14A16	OR5AT1		1q44	ENSG00000196772	uc001idm.1
OR14C36	OR5BF1		1q44	ENSG00000177174	uc010pzl.2
OR14I1	OR5BU1P, OR5BU1		1q44	ENSG00000189181	uc001ieu.1
OR14J1	OR5U1	hs6M1-28	6p21.3	ENSG00000204695	uc011dln.2
OR14K1	OR5AY1		1q44	ENSG00000153230	
OR14L1P	OR5AV1, OR5AV1P		1q44	ENSG00000198452	
OR51A1P			11p15.4	ENSG00000176752	
OR51A2			11p15.4	ENSG00000205496	uc010qyt.2
OR51A3P			11p15.4	ENSG00000227023	
OR51A4			11p15.4	ENSG00000205497	uc010qys.2
OR51A5P			11p15.4	ENSG00000225003	
OR51A6P			11p15.4	ENSG00000197023	
OR51A7			11p15.4	ENSG00000176895	uc010qyq.2
OR51A8P			11p15.4	ENSG00000197984	
OR51A9P			11p15.4	ENSG00000180723	
OR51A10P	OR51A11P, OR51A13		11p15.4	ENSG00000230484	
OR51AB1P			11p15.4		
OR51B2	OR51B1P		11p15.4	ENSG00000184881	uc001mao.1
OR51B3P			11p15.4	ENSG00000223735	
OR51B4			11p15.4	ENSG00000183251	uc010qza.2
OR51B5			11p15.4	ENSG00000242180	uc001maq.2
OR51B6			11p15.4	ENSG00000176239	uc010qzb.2
OR51B8P			11p15.4	ENSG00000236359	
OR51C1P	OR51C3P, OR51C2P	OST734	11p15.4	ENSG00000197674	
OR51C4P			11p15.4		
OR51D1		OR51D1Q	11p15.4	ENSG00000197428	uc010qyk.2
OR51E1	OR51E1P, OR52A3P, GPR164	GPR136	11p15.4	ENSG00000180785	uc001lzi.4
OR51E2		PSGR	11p15	ENSG00000167332	uc001lzk.2
OR51F1	OR51F1P		11p15.4	ENSG00000188069	uc010qyl.2
OR51F2			11p15.4	ENSG00000176925	uc010qyn.2
OR51F3P			11p15.4		
OR51F4P			11p15.4		
OR51F5P			11p15.4		
OR51G1	OR51G3P		11p15.4	ENSG00000176879	uc010qyr.2
OR51G2			11p15.4	ENSG00000176893	uc001lzr.1
OR51H1	OR51H1P		11p15.4	ENSG00000176904	
OR51H2P			11p15.4	ENSG00000198217	
OR51I1			11p15.4	ENSG00000167359	uc010qze.2
OR51I2			11p15.4	ENSG00000187918	uc010qzf.2
OR51J1	OR51J2, OR51J1P		11p15.4	ENSG00000184321	
OR51K1P			11p15.4	ENSG00000248424	
OR51L1			11p15.4	ENSG00000176798	uc010qyu.2
OR51M1			11p15.4	ENSG00000184698	uc010qzc.2
OR51N1P			11p15.4	ENSG00000176951	
OR51P1P	OR51P2P		11p15.4	ENSG00000224300	
OR51Q1			11p15.4	ENSG00000167360	uc010qzd.2
OR51R1P			11p15.4	ENSG00000237272	
OR51S1			11p15.4	ENSG00000176922	uc010qyo.2
OR51T1			11p15.4	ENSG00000176900	uc010qyp.2
OR51V1	OR51A12		11p15.4	ENSG00000176742	uc010qyz.2
OR52A1		HPFH1OR	11p15.4	ENSG00000182070	uc010qyy.2
OR52A4P	OR52A4		11p15.4	ENSG00000205494	
OR52A5			11p15.4	ENSG00000171944	uc010qyx.2
OR52B1P			11p15.4	ENSG00000180909	
OR52B2			11p15.4		uc010qzy.2
OR52B3P			11p15.4	ENSG00000175800	
OR52B4			11p15.4	ENSG00000221996	uc010qye.2
OR52B5P			11p15.4	ENSG00000231049	
OR52B6			11p15.4	ENSG00000187747	uc010qzi.2
OR52D1			11p15.4	ENSG00000181609	uc010qzg.2
OR52E1	OR52E1P		11p15.4	ENSG00000236621	
OR52E2			11p15.4	ENSG00000176787	uc010qyw.2
OR52E3P			11p15.4	ENSG00000226157	
OR52E4			11p15.4	ENSG00000180974	uc010qzs.2
OR52E5			11p15.4	ENSG00000277932	
OR52E6			11p15.4		uc010qzq.2
OR52E7P			11p15.4	ENSG00000233563	
OR52E8			11p15.4	ENSG00000183269	uc010qzr.2
OR52H1			11p15.4	ENSG00000181616	uc010qzh.2
OR52H2P			11p15.4	ENSG00000248553	
OR52I1			11p15.4		uc010qyi.2
OR52I2			11p15.4	ENSG00000226288	uc010qyh.2
OR52J1P			11p15.4	ENSG00000203560	
OR52J2P	OR52J4P		11p15.4	ENSG00000230261	
OR52J3			11p15.4	ENSG00000205495	uc010qyv.2
OR52K1			11p15.4	ENSG00000196778	uc001lza.2
OR52K2			11p15.4	ENSG00000181963	uc001lyz.2
OR52K3P			11p15.4	ENSG00000225101	
OR52L1			11p15.4	ENSG00000183313	uc001mcd.2
OR52L2P	OR52L2		11p15.4	ENSG00000262980	
OR52M1	OR52M1P		11p15.4	ENSG00000197790	uc010qyf.2
OR52M2P	OR52M4		11p15.4	ENSG00000226616	
OR52N1			11p15.4	ENSG00000181001	uc010qzo.2
OR52N2			11p15.4	ENSG00000180988	uc010qzp.2
OR52N3P			11p15.4	ENSG00000236965	
OR52N4			11p15.4	ENSG00000181074	uc001mbu.3
OR52N5		OR52N5Q	11p15.4	ENSG00000181009	uc010qzn.2
OR52P1P	OR52P1		11p15.4	ENSG00000181109	
OR52P2P			11p15.4	ENSG00000171999	
OR52Q1P			11p15.4		
OR52R1			11p15.4	ENSG00000176937	uc021qcs.1
OR52S1P			11p15.4	ENSG00000237354	
OR52T1P			11p15.4	ENSG00000233646	
OR52U1P			11p15.4	ENSG00000232381	
OR52V1P			11p15.4	ENSG00000249633	
OR52W1	OR52W1P		11p15.4	ENSG00000175485	uc010qzz.2
OR52X1P			11p15.4	ENSG00000234895	
OR52Y1P	OR52Y2P		11p15.4	ENSG00000231070	
OR52Z1	OR52Z1P		11p15.4	ENSG00000176748	uc021qct.1
OR55B1P	OR55B2P, OR55C1P		11p15.4	ENSG00000231548	
OR56A1			11p15.4	ENSG00000180934	uc010qzw.2
OR56A3	OR56A6, OR56A3P		11p15.4	ENSG00000184478	uc010qzt.2
OR56A4			11p15.4	ENSG00000183389	uc010qzv.2
OR56A5	OR56A5P		11p15.4		uc010qzu.2
OR56A7P			11p15.4	ENSG00000255481	
OR56B1	OR56B1P		11p15.4	ENSG00000181023	uc001mbt.2
OR56B2P	OR56B2		11p15.4	ENSG00000181017	
OR56B3P			11p15.4	ENSG00000180913	
OR56B4			11p15.4	ENSG00000180919	uc010qzx.2
ORAI1	TMEM142A	FLJ14466, CRACM1	12q24.31	ENSG00000276045	uc031zps.1
ORAI2	C7orf19, TMEM142B	CBCIP2, FLJ12474, FLJ14733, H_NH0514P08.8	7q22.1	ENSG00000160991	uc003uzj.3
ORAI3	TMEM142C	MGC13024	16p11.2	ENSG00000175938	uc002eac.3
ORAOV1		TAOS1	11q13.2	ENSG00000149716	uc001opc.3
ORAOV1P1			4q35.1	ENSG00000251008	
ORC1	ORC1L	HSORC1, PARC1	1p32	ENSG00000085840	uc001ctu.3
ORC2	ORC2L		2q33	ENSG00000115942	uc002uwr.3
ORC3	ORC3L	IMAGE50150, LATHEO	6q	ENSG00000135336	uc003pmg.3
ORC4	ORC4L	HsORC4, Orc4p	2q22-q23	ENSG00000115947	uc002twk.3
ORC5	ORC5L	Orc5p, ORC5T, PPP1R117	7q22.1	ENSG00000164815	uc003vcb.3
ORC6	ORC6L		16q12	ENSG00000091651	uc002eeh.3
ORM1			9q32	ENSG00000229314	
ORM2		AGP-B, AGP-B', AGP2	9q32	ENSG00000228278	uc004bil.3
ORMDL1			2q32	ENSG00000128699	uc002ure.4
ORMDL2		HSPC160, adoplin-2, MST095, MSTP095	12q13.2		uc001shw.1
ORMDL3			17q12	ENSG00000172057	uc002htj.2
OS9		OS-9, ERLEC2	12q13		uc001spj.3
OSBP		OSBP1	11q12-q13	ENSG00000110048	uc001noc.1
OSBP2	OSBPL1	KIAA1664, ORP-4, ORP4	22q12.2	ENSG00000184792	uc003aiy.1
OSBPL1A	OSBPL1B	ORP-1, ORP1	18q11.2	ENSG00000141447	uc002kve.4
OSBPL2		KIAA0772, ORP-2, DFNA67	20q13.3	ENSG00000130703	uc002yck.2
OSBPL3	OSBP3	ORP-3, ORP3, KIAA0704	7p15.3	ENSG00000070882	uc003sxf.4
OSBPL5		KIAA1534, ORP5	11p15.4	ENSG00000021762	uc001lxk.2
OSBPL6		ORP6	2q32.1	ENSG00000079156	uc002uly.3
OSBPL7		ORP7, MGC71150	17q21		uc002ilx.1
OSBPL8		OSBP10, ORP8, MST120, MSTP120	12q14		uc001sye.1
OSBPL9			1p32.3	ENSG00000117859	uc001csu.3
OSBPL9P1			3p12.2		
OSBPL9P2			11q14.3	ENSG00000254677	
OSBPL9P3			11q14.3	ENSG00000255070	
OSBPL9P4			12q14.3	ENSG00000256420	
OSBPL9P5			12q14.3	ENSG00000256285	
OSBPL9P6			7p14.3		
OSBPL10			3p23	ENSG00000144645	uc021wuu.1
OSBPL10-AS1			3p23	ENSG00000232490	uc031ryt.1
OSBPL11		ORP-11, ORP11, FLJ13012, FLJ13164	3q21	ENSG00000144909	uc003eic.3
OSCAR			19q13.42	ENSG00000170909	uc032icf.1
OSCP1	C1orf102	NOR1	1p34.3	ENSG00000116885	uc001caq.3
OSER1	C20orf111	dJ1183I21.1, HSPC207, Perit1, Osr1	20q13.11	ENSG00000132823	
OSER1-AS1			20q13.12	ENSG00000223891	
OSGEP		PRSMG1, GCPL1, OSGEP1, KAE1	14q12	ENSG00000092094	uc001vxf.3
OSGEPL1		Qri7	2q32	ENSG00000128694	uc002uqz.1
OSGEPL1-AS1			2q32.2	ENSG00000253559	uc031rql.1
OSGIN1		BDGI, OKL38	16q23.3	ENSG00000140961	uc002fhc.3
OSGIN2	C8orf1	hT41	8q21	ENSG00000164823	uc003yeh.3
OSM		MGC20461	22q12.2	ENSG00000099985	uc003ahb.3
OSMR		OSMRB	5p13.2	ENSG00000145623	uc003jln.2
OSMR-AS1			5p13.1	ENSG00000249740	
OSR1	ODD		2p24.1	ENSG00000143867	uc002rdc.3
OSR2		FLJ90037	8q22.2		uc011lgx.3
OST4			2p23.3	ENSG00000228474	uc002rig.3
OSTC		DC2	4q25	ENSG00000198856	uc031sgt.1
OSTCP1	OSTCL	DC2L	6q25.3	ENSG00000243775	uc003qrw.5
OSTCP2			1p36.11	ENSG00000225294	
OSTCP3			19q13.42		
OSTCP4			4q25	ENSG00000220924	
OSTCP5			1p34.1	ENSG00000234315	
OSTCP6			6p12.1	ENSG00000219790	
OSTCP7			17q12		
OSTCP8			9p13.3	ENSG00000226801	
OSTF1		SH3P2, OSF, bA235O14.1	9q13-q21.2	ENSG00000134996	uc004ajv.4
OSTF1P1	OSTF1P		12q24.1-q24.2		
OSTM1		HSPC019, GL	6q21	ENSG00000081087	uc003psd.3
OSTM1-AS1			6q21	ENSG00000225174	
OSTN			3q29	ENSG00000188729	uc011bsn.2
OSTN-AS1			3q28	ENSG00000233308	
OTC			Xp21.1	ENSG00000036473	uc004def.4
OTOA	DFNB22	CT108	16p12.2	ENSG00000155719	uc002djh.3
OTOF	DFNB9	FER1L2, DFNB6	2p23.1	ENSG00000115155	uc010yla.3
OTOG		mlemp, OTGN, FLJ46346	11p14.3	ENSG00000188162	uc031pzc.1
OTOGL	C12orf64	FLJ90579	12q21.31	ENSG00000165899	uc001szd.3
OTOL1		C1QTNF15	3q26.1		uc011bpb.2
OTOP1			4p16.2	ENSG00000163982	uc003ghp.1
OTOP2			17q25.3		uc010wrp.2
OTOP3			17q25.1	ENSG00000182938	uc010wrr.3
OTOR		MIAL, MIAL1, FDP	20p12.1-p11.23	ENSG00000125879	uc002wpj.4
OTOS		OTOSP	2q37.3	ENSG00000178602	uc002vyv.3
OTP			5q14.1	ENSG00000171540	uc003kfg.3
OTSC1		OTS	15q25-q26		
OTSC2			7q34-q36		
OTSC3			6p22.3-p21.2		
OTSC4			16q21-q23.2		
OTSC5			3q22.1-q24		
OTSC6			reserved		
OTSC7			6q13-q16.1		
OTSC8			9p13.1-q21.11		
OTSC9			reserved		
OTSC10			1q41-q44		
OTUB1		FLJ20113, FLJ40710	11q13.1		uc001nyf.1
OTUB2	C14orf137	FLJ21916, MGC3102	14q32.12	ENSG00000089723	uc001yci.3
OTUD1	OTDC1	DUBA7	10p12.31	ENSG00000165312	uc001irr.2
OTUD3		KIAA0459, DUBA4	1p36.13	ENSG00000169914	uc001bcs.4
OTUD4		HSHIN1, KIAA1046, DUBA6	4q31.21	ENSG00000164164	uc003ika.4
OTUD4P1		HIN1L	12p13.32	ENSG00000118976	
OTUD5		DKFZp761A052, DUBA	Xp11.23	ENSG00000068308	uc004dlu.3
OTUD6A		FLJ25831, HSHIN6, DUBA2	Xq13.1		uc004dxu.1
OTUD6B		CGI-77, DUBA5	8q21.3	ENSG00000155100	uc003yeu.4
OTUD6B-AS1		GS1-251I9.4	8q21.3	ENSG00000253738	
OTUD7A	C15orf16, OTUD7	CEZANNE2	15q13.1	ENSG00000169918	uc001zfq.3
OTUD7B	ZA20D1	CEZANNE	1q21.2	ENSG00000264522	uc001etn.4
OTULIN	FAM105B	FLJ34884	5p15.2	ENSG00000154124	
OTX1			2p15	ENSG00000115507	uc002scd.3
OTX2			14q22.3	ENSG00000165588	uc031qor.1
OTX2-AS1		OTX2OS1	14q22.3	ENSG00000248550	uc001xcr.4
OTX2P1	OTX2P		9q21		
OVAAL		LINC01131, OVAL	1q25.3	ENSG00000236719	
OVCA2			17p13.3	ENSG00000262664	uc002ftx.3
OVCH1		OVCH	12p11.23	ENSG00000187950	uc001rix.1
OVCH1-AS1			12p11.22	ENSG00000257599	
OVCH2		OVTN	11p15.4	ENSG00000183378	uc031xev.1
OVGP1	MUC9	CHIT5	1p13.2	ENSG00000085465	uc001eba.3
OVOL1		HOVO1	11q13	ENSG00000172818	uc001ofp.3
OVOL1-AS1			11q13.1	ENSG00000255120	
OVOL2	ZNF339	bA504H3.3, HOVO2	20p11.23	ENSG00000125850	uc002wqi.1
OVOL3		HOVO3	19q13.12	ENSG00000105261	uc031rkj.1
OXA1L		MGC133129, OXA1	14q11.2	ENSG00000155463	uc001wgn.2
OXCT1	OXCT	SCOT	5p13	ENSG00000083720	uc003jmn.3
OXCT1-AS1			5p13.1	ENSG00000248668	uc032usd.1
OXCT2		FKSG25, FLJ00030, SCOT-T	1p34	ENSG00000198754	uc001ceb.1
OXCT2P1	OXCT2P		1p34.2	ENSG00000237624	
OXER1		GPCR, TG1019, GPR170	2p22.1	ENSG00000162881	uc002rss.3
OXGR1	GPR99, GPR80	P2RY15, P2Y15, aKGR	13q32.2	ENSG00000165621	uc001vmx.1
OXLD1	C17orf90	MGC104712	17q25.3	ENSG00000204237	uc002kba.3
OXNAD1		MGC15763	3p25-p24	ENSG00000154814	uc003caw.3
OXR1		TLDC3	8q23	ENSG00000164830	uc011lht.2
OXSM		KS, FLJ20604, FASN2D	3p24.2	ENSG00000151093	uc003cdn.3
OXSR1	OSR1	KIAA1101	3p22.2	ENSG00000172939	uc003chy.3
OXT	OT	OXT-NPI, OT-NPI	20p13	ENSG00000101405	uc002wht.2
OXTR			3p25	ENSG00000180914	uc003brc.3
P1			22q11.2-qter		
P2RX1		P2X1	17p13.3		uc002fww.3
P2RX2	DFNA41	P2X2	12q24.33	ENSG00000187848	uc001ukj.2
P2RX3		P2X3	11q12	ENSG00000109991	uc001nju.3
P2RX4		P2X4	12q24.32	ENSG00000135124	uc001tzr.3
P2RX5		P2X5, LRH-1	17p13.3	ENSG00000083454	uc002fwi.3
P2RX5-TAX1BP3			17p13.2	ENSG00000257950	
P2RX6	P2RXL1	P2XM, MGC129625, P2X6	22q11.21	ENSG00000099957	uc010gsu.1
P2RX6P			22q11.21	ENSG00000206145	uc002zuf.1
P2RX7		P2X7, MGC20089	12q24	ENSG00000089041	uc001tzm.3
P2RY1		P2Y1	3q25.2	ENSG00000169860	uc003ezq.3
P2RY2		P2U	11q13.4	ENSG00000175591	uc001otj.4
P2RY4		NRU, P2Y4, UNR, P2P	Xq13	ENSG00000186912	uc004dxz.1
P2RY6		P2Y6	11q13.4	ENSG00000171631	uc001otr.4
P2RY8		P2Y8	Xp22.33 and Yp11.3	ENSG00000182162	uc004cpz.2
P2RY10		P2Y10	Xq21.1	ENSG00000078589	uc004edf.3
P2RY10P1		GPR121P, P2Y10P1	Xq21.1		
P2RY10P2			Xq21.1	ENSG00000232168	
P2RY11		P2Y11	19p13.2	ENSG00000244165	
P2RY12		P2Y12, SP1999, HORK3	3q25.1	ENSG00000169313	uc003eyw.2
P2RY13	GPR94, GPR86	FKSG77, P2Y13	3q24	ENSG00000181631	uc003eyv.2
P2RY14	GPR105	KIAA0001	3q21-q25	ENSG00000174944	uc003eys.1
P3H1	LEPRE1	GROS1, LEPRECAN, MGC117314	1p34.1	ENSG00000117385	uc001chx.4
P3H2	LEPREL1	FLJ10718, MLAT4	3q29	ENSG00000090530	uc011bsk.2
P3H2-AS1	LEPREL1-AS1		3q28	ENSG00000225764	
P3H3	LEPREL2	GRCB, HSU47926	12p13.31	ENSG00000110811	uc031yrv.1
P3H4	LEPREL4	SC65, NO55	17q12	ENSG00000141696	uc002hxt.3
P4HA1	P4HA	C-P4Halpha(I)	10q22.1	ENSG00000122884	uc001jth.3
P4HA2		C-P4Halpha(II)	5q31	ENSG00000072682	uc003kwl.3
P4HA2-AS1			5q31.1	ENSG00000237714	uc032vkt.1
P4HA3		C-P4Halpha(III)	11q13.4	ENSG00000149380	uc010rrj.3
P4HB	PO4DB, ERBA2L	PDIA1, PROHB, DSI, GIT, PDI, PO4HB, P4Hbeta	17q25	ENSG00000185624	uc002kbn.1
P4HTM		P4H-TM, PHD4, PH4, HIFPH4, FLJ20262, EGLN4, PH-4	3p21.31	ENSG00000178467	uc003cvg.3
PA2G4			12q13.2	ENSG00000170515	uc001sjm.3
PA2G4P1	PA2G4P		Xq24	ENSG00000237828	
PA2G4P2		bA102J14.2, PA2G4L5	20p12.1		
PA2G4P3		HsT2542, PA2G4L4	18q11.2		
PA2G4P4		PA2G4L1	3q25.31	ENSG00000230457	uc003fay.1
PA2G4P5		PA2G4L2	6q21		
PA2G4P6		PA2G4L3	9q22.2		
PAAF1	WDR71	FLJ11848, Rpn14	11q13.4	ENSG00000175575	uc001ouk.2
PABPC1	PAB1, PABPC2	PABP1, PABPL1	8q22.2-q23	ENSG00000070756	uc003yjs.1
PABPC1L	C20orf119	dJ1069P2.3, PABPC1L1, ePAB	20q12-q13.1	ENSG00000101104	uc010ggv.1
PABPC1L2A	RBM32A		Xq13.2		uc004ebg.2
PABPC1L2B	RBM32B		Xq13.1	ENSG00000184388	uc004ebf.3
PABPC1L2B-AS1			Xq13.2	ENSG00000226725	
PABPC1P1	PABPCP1	PABP1	4p14	ENSG00000231707	
PABPC1P2	PABPCP4, PABPCP2	PABP2, PABP4	2q22.3	ENSG00000198526	uc002twf.4
PABPC1P3	PABPCP3	PABP3	Xq13	ENSG00000230673	
PABPC1P4	PABPL2, PABPCP5		12q14.2	ENSG00000255642	
PABPC1P5			Yq11.21		
PABPC1P6			2p11.1	ENSG00000227497	
PABPC1P7			4q24	ENSG00000250651	
PABPC1P8			10q11.21	ENSG00000228755	
PABPC1P9			22q11.1	ENSG00000229658	
PABPC1P10	PABPL1	D3S3192	3q25.31	ENSG00000239443	
PABPC1P11			9p22.2	ENSG00000228810	
PABPC1P12			10p11.1	ENSG00000225638	
PABPC1P13			16p11.2		
PABPC3	PABPL3	PABP3, tPABP	13q12-q13	ENSG00000151846	uc001upy.3
PABPC4		iPABP, APP-1	1p34.2	ENSG00000090621	uc001cdl.2
PABPC4L			4q28.3		uc010ioe.3
PABPC5		PABP5	Xq21.3	ENSG00000174740	uc004efg.3
PABPC5-AS1	CXorf46	OTTHUMG00000021960	Xq21.31	ENSG00000234161	
PABPN1	OPMD, PABP2	PAB2	14q11.2	ENSG00000100836	
PABPN1L		ePABP2	16q24.3	ENSG00000205022	uc010vpe.2
PABX			Xp22.32		
PABY			Yp11.3		
PACERR		PACER, PTGS2-AS1	1q31.1	ENSG00000273129	
PACRG		PARK2CRG, FLJ32724, Glup, HAK005771	6q26	ENSG00000112530	uc003qua.3
PACRG-AS1			6q26	ENSG00000281692	uc011egh.2
PACRG-AS2			6q26	ENSG00000225437	
PACRG-AS3			6q26	ENSG00000225683	
PACRGL	C4orf28	MGC29898	4p15.31	ENSG00000163138	uc010iek.3
PACS1		FLJ10209, KIAA1175	11q13.1-q13.2	ENSG00000175115	uc001oha.2
PACS2	PACS1L	KIAA0602	14q32		uc001yqu.3
PACSIN1		SDPI	6p21.3	ENSG00000124507	uc003ojp.4
PACSIN2		SDPII	22q13.2-q13.33	ENSG00000100266	uc003bdg.4
PACSIN3		SDPIII	11p12-p11		uc001ndx.3
PADI1		HPAD10, PDI1, PDI, PAD1	1p36.13	ENSG00000142623	uc001bah.1
PADI2		KIAA0994, PDI2	1p35.2-p35.1	ENSG00000117115	uc001baf.3
PADI3		PDI3	1p36.13	ENSG00000142619	uc001bai.3
PADI4	PADI5	PAD, PDI5, PDI4	1p36.13	ENSG00000159339	uc001baj.2
PADI6			1p36.13	ENSG00000276747	uc031trf.1
PAEP		PEP, PP14, GdA, GdS, GdF, PAEG, GD, MGC138509, MGC142288	9q34	ENSG00000122133	uc004cgd.1
PAF1		PD2, F23149_1, FLJ11123	19q13.1		uc002old.4
PAFAH1B1	MDCR, MDS	LIS1, PAFAH	17p13.3	ENSG00000007168	uc002fuw.4
PAFAH1B1P1	PAFAH1P1	LIS2	2p11.2		
PAFAH1B1P2	PAFAH1P2	LIS2P	2q13		
PAFAH1B2			11q23		uc001pqe.3
PAFAH1B3			19q13.1		uc010xwj.1
PAFAH2		HSD-PLA2	1p34.3	ENSG00000158006	uc001bld.4
PAG1		PAG, CBP	8q21.13		uc003ybz.3
PAGE1	GAGEB1	PAGE-1, GAGE-9, CT16.3	Xp11.23	ENSG00000068985	uc004dom.3
PAGE2	GAGEC2	MGC62094, PAGE-2, CT16.4	Xp11.22	ENSG00000234068	uc004duf.1
PAGE2B		CT16.5	Xp11.22	ENSG00000238269	uc004due.4
PAGE3	GAGED1	PAGE-3, CT16.6	Xp11	ENSG00000204279	uc011mon.4
PAGE4	GAGEC1	PAGE-4, CT16.7	Xp11.23	ENSG00000101951	uc004don.2
PAGE5		PAGE-5, CT16.1, CT16.2	Xp11.22	ENSG00000158639	uc004duk.3
PAGR1	C16orf53	MGC4606, GAS, PA1	16p11.2	ENSG00000280789	uc002dug.4
PAH		PH	12q22-q24.2		uc001tjq.1
PAICS	PAIS	ADE2H1, AIRC	4q12	ENSG00000128050	uc003hbu.1
PAICSP1			9p13.2	ENSG00000226055	
PAICSP2			9q22	ENSG00000228595	
PAICSP3			6q13	ENSG00000226840	
PAICSP4			8p23.2	ENSG00000254244	
PAICSP5			7q35	ENSG00000229877	
PAICSP6			7q35	ENSG00000241136	
PAICSP7			Xq21	ENSG00000232293	
PAIP1			5p12	ENSG00000172239	uc003job.3
PAIP1P1		bQB44E15.5, bPG254M11.3, bCX300M20.3	6p21.3		
PAIP2		PAIP2A	5q32	ENSG00000120727	uc003led.4
PAIP2B		KIAA1155	2p13.3	ENSG00000124374	uc002shu.2
PAK1			11q13-q14		uc001oyh.4
PAK1IP1		FLJ20624, hPIP1, PIP1, bA421M1.5, MAK11, WDR84	6p24.1	ENSG00000111845	uc003mzg.3
PAK2		PAK65, PAKgamma	3q29		uc003fwy.4
PAK3	MRX30, MRX47	hPAK3, bPAK	Xq22.3	ENSG00000077264	uc010npv.1
PAK4			19p11-q11		uc002okn.1
PAK6		PAK5	15q14	ENSG00000137843	uc001zlb.3
PAK7		KIAA1264, PAK5	20p12	ENSG00000101349	uc002wnk.2
PALB2		FLJ21816, FANCN	16p12.2	ENSG00000083093	uc002dlx.1
PALD1	PALD, KIAA1274		10q22.2	ENSG00000107719	uc001jrd.4
PALLD		KIAA0992, SIH002, CGI-151	4q32.3	ENSG00000129116	uc011cjx.2
PALM		KIAA0270	19p13.3		uc002lpm.1
PALM2			9q31.3	ENSG00000243444	
PALM2-AKAP2			9q31.3	ENSG00000157654	uc004bej.4
PALM3			19p13.12	ENSG00000187867	uc010xnk.1
PALMD	C1orf11	FLJ20271, PALML	1p21.2	ENSG00000099260	uc001dsg.3
PAM		PAL, PHM	5q	ENSG00000145730	uc003knt.3
PAM16		Magmas, Tim16, TIMM16	16p13.3	ENSG00000217930	
PAMR1		RAMP, DKFZP586H2123	11p13	ENSG00000149090	uc031xjx.1
PAN2	USP52	KIAA0710, hPAN2	12q13.3	ENSG00000135473	uc001skx.3
PAN3			13q12.2	ENSG00000152520	uc001urz.3
PAN3-AS1			13q12.2		uc021rhn.1
PANDAR		PANDA	6p21.2		uc032wvg.1
PANK1	PANK	MGC24596, PANK1a, PANK1b	10q23.31	ENSG00000152782	uc001kgp.2
PANK2	C20orf48, NBIA1	HSS, FLJ11729, PKAN, HARP	20p13	ENSG00000125779	uc002wkc.3
PANK3		FLJ12899	5q35.1	ENSG00000120137	uc003lzz.2
PANK4		FLJ10782	1p36.32	ENSG00000157881	uc001ajm.1
PANO1		PANO	11p15.5	ENSG00000274897	
PANX1		MRS1, UNQ2529, PX1	11q14-q21	ENSG00000110218	uc001per.3
